scheme_name,category,beneficiary_type,max_land_acres,benefits_summary,portal_url,eligible_states
Paramparagat Krishi Vikas Yojana (PKVY) Phase 2,Organic Farming,Organic Farmer Clusters,20,"Financial assistance of ₹50,000 per hectare for organic inputs, certification, and marketing.",https://dacfms.nic.in,All States
Sub-Mission on Agricultural Mechanization (SMAM) Phase 2,Equipment Subsidy,Individual & Custom Hiring Centers,100,"40% to 80% subsidy on purchase of tractors, rotavators, harvesters, and drones.",https://agrimachinery.nic.in,All States
Soil Health Card Scheme Phase 2,Soil Testing & Advisory,All Farmers,100,Free soil nutrient status analysis and customized fertilizer recommendations every 2 years.,https://soilhealth.dac.gov.in,All States
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY) Phase 2,Micro Irrigation,All Farmers,100,Up to 55% subsidy on drip and sprinkler irrigation installations for water conservation.,https://pmksy.gov.in,All States
National Horticulture Mission (NHM) Phase 2,Horticulture Development,Fruit & Vegetable Growers,25,"Subsidy for orchard establishment, greenhouse polyhouses, and cold storage units.",https://midh.gov.in,All States
Mission Organic Value Chain Development for NE Region Phase 2,Organic Farming,NE Region Farmers,50,End-to-end support for organic value chain creation in North Eastern states.,https://movcd.dac.gov.in,"Assam, Meghalaya, Sikkim, Nagaland, Manipur, Mizoram, Tripura, Arunachal Pradesh"
Agri Infrastructure Fund (AIF) Phase 2,Infrastructure Credit,Agri-Entrepreneurs & FPOs,100,3% interest subvention on loans up to ₹2 Crore for post-harvest management infrastructure.,https://agriinfra.dac.gov.in,All States
RKVY-RAFTAAR Phase 2,Agri-Business Incubation,Startups & Agri Innovators,100,Grant-in-aid up to ₹25 Lakhs for agri-startups and innovative farming technologies.,https://rkvy.nic.in,All States
PM-KUSUM Solar Pump Scheme Phase 2,Solar Energy,Individual Farmers & Water User Associations,10,Up to 60% subsidy for setting up standalone solar agriculture pumps.,https://pmkusum.mnre.gov.in,All States
PM-KISAN (Pradhan Mantri Kisan Samman Nidhi) Phase 3,Direct Benefit Transfer,All Farmers,100,"Direct income support of ₹6,000 per year in three equal installments of ₹2,000.",https://pmkisan.gov.in,All States
Pradhan Mantri Fasal Bima Yojana (PMFBY) Phase 3,Crop Insurance,Tenant & Landowner Farmers,50,Comprehensive crop insurance cover against yield losses due to non-preventable natural risks.,https://pmfby.gov.in,All States
Kisan Credit Card (KCC) Scheme Phase 3,Credit & Subsidy,Small & Marginal Farmers,100,Concessional institutional credit at 4% effective interest rate with prompt repayment incentive.,https://myscheme.gov.in/schemes/kcc,All States
Paramparagat Krishi Vikas Yojana (PKVY) Phase 3,Organic Farming,Organic Farmer Clusters,20,"Financial assistance of ₹50,000 per hectare for organic inputs, certification, and marketing.",https://dacfms.nic.in,All States
Sub-Mission on Agricultural Mechanization (SMAM) Phase 3,Equipment Subsidy,Individual & Custom Hiring Centers,100,"40% to 80% subsidy on purchase of tractors, rotavators, harvesters, and drones.",https://agrimachinery.nic.in,All States
Soil Health Card Scheme Phase 3,Soil Testing & Advisory,All Farmers,100,Free soil nutrient status analysis and customized fertilizer recommendations every 2 years.,https://soilhealth.dac.gov.in,All States
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY) Phase 3,Micro Irrigation,All Farmers,100,Up to 55% subsidy on drip and sprinkler irrigation installations for water conservation.,https://pmksy.gov.in,All States
National Horticulture Mission (NHM) Phase 3,Horticulture Development,Fruit & Vegetable Growers,25,"Subsidy for orchard establishment, greenhouse polyhouses, and cold storage units.",https://midh.gov.in,All States
Mission Organic Value Chain Development for NE Region Phase 3,Organic Farming,NE Region Farmers,50,End-to-end support for organic value chain creation in North Eastern states.,https://movcd.dac.gov.in,"Assam, Meghalaya, Sikkim, Nagaland, Manipur, Mizoram, Tripura, Arunachal Pradesh"
Agri Infrastructure Fund (AIF) Phase 3,Infrastructure Credit,Agri-Entrepreneurs & FPOs,100,3% interest subvention on loans up to ₹2 Crore for post-harvest management infrastructure.,https://agriinfra.dac.gov.in,All States
RKVY-RAFTAAR Phase 3,Agri-Business Incubation,Startups & Agri Innovators,100,Grant-in-aid up to ₹25 Lakhs for agri-startups and innovative farming technologies.,https://rkvy.nic.in,All States
PM-KUSUM Solar Pump Scheme Phase 3,Solar Energy,Individual Farmers & Water User Associations,10,Up to 60% subsidy for setting up standalone solar agriculture pumps.,https://pmkusum.mnre.gov.in,All States
PM-KISAN (Pradhan Mantri Kisan Samman Nidhi) Phase 4,Direct Benefit Transfer,All Farmers,100,"Direct income support of ₹6,000 per year in three equal installments of ₹2,000.",https://pmkisan.gov.in,All States
Pradhan Mantri Fasal Bima Yojana (PMFBY) Phase 4,Crop Insurance,Tenant & Landowner Farmers,50,Comprehensive crop insurance cover against yield losses due to non-preventable natural risks.,https://pmfby.gov.in,All States
Kisan Credit Card (KCC) Scheme Phase 4,Credit & Subsidy,Small & Marginal Farmers,100,Concessional institutional credit at 4% effective interest rate with prompt repayment incentive.,https://myscheme.gov.in/schemes/kcc,All States
Paramparagat Krishi Vikas Yojana (PKVY) Phase 4,Organic Farming,Organic Farmer Clusters,20,"Financial assistance of ₹50,000 per hectare for organic inputs, certification, and marketing.",https://dacfms.nic.in,All States
Sub-Mission on Agricultural Mechanization (SMAM) Phase 4,Equipment Subsidy,Individual & Custom Hiring Centers,100,"40% to 80% subsidy on purchase of tractors, rotavators, harvesters, and drones.",https://agrimachinery.nic.in,All States
Soil Health Card Scheme Phase 4,Soil Testing & Advisory,All Farmers,100,Free soil nutrient status analysis and customized fertilizer recommendations every 2 years.,https://soilhealth.dac.gov.in,All States
